timestamp,src_ip,dst_ip,proto,src_port,dst_port,flags,packet_len,label
1745266651.706972,192.168.100.5,192.168.100.4,TCP,37560,22,,60,null_scan
1745266651.707969,192.168.100.5,192.168.100.4,TCP,37560,587,,60,null_scan
1745266651.707969,192.168.100.5,192.168.100.4,TCP,37560,80,,60,null_scan
1745266651.707970,192.168.100.5,192.168.100.4,TCP,37560,256,,60,null_scan
1745266651.707970,192.168.100.5,192.168.100.4,TCP,37560,995,,60,null_scan
1745266651.707970,192.168.100.5,192.168.100.4,TCP,37560,1025,,60,null_scan
1745266651.707970,192.168.100.5,192.168.100.4,TCP,37560,993,,60,null_scan
1745266651.707970,192.168.100.5,192.168.100.4,TCP,37560,3306,,60,null_scan
1745266651.713610,192.168.100.5,192.168.100.4,TCP,37560,110,,60,null_scan
1745266651.713610,192.168.100.5,192.168.100.4,TCP,37560,554,,60,null_scan
1745266651.713610,192.168.100.5,192.168.100.4,TCP,37560,21,,60,null_scan
1745266651.713611,192.168.100.5,192.168.100.4,TCP,37560,443,,60,null_scan
1745266651.714989,192.168.100.5,192.168.100.4,TCP,37560,5900,,60,null_scan
1745266651.714990,192.168.100.5,192.168.100.4,TCP,37560,135,,60,null_scan
1745266651.714990,192.168.100.5,192.168.100.4,TCP,37560,53,,60,null_scan
1745266651.714990,192.168.100.5,192.168.100.4,TCP,37560,3389,,60,null_scan
1745266651.714991,192.168.100.5,192.168.100.4,TCP,37560,1723,,60,null_scan
1745266651.716391,192.168.100.5,192.168.100.4,TCP,37560,8888,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,8080,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,111,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,1720,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,143,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,113,,60,null_scan
1745266651.716392,192.168.100.5,192.168.100.4,TCP,37560,25,,60,null_scan
1745266651.716393,192.168.100.5,192.168.100.4,TCP,37560,199,,60,null_scan
1745266651.717636,192.168.100.5,192.168.100.4,TCP,37560,23,,60,null_scan
1745266651.719384,192.168.100.5,192.168.100.4,TCP,37560,139,,60,null_scan
